Treatment,Growth
Control,0.11
Control,0.09
Control,0.11
Control,0.09
Control,0.08
Control,0.13
Control,0.11
Control,0.02
Control,0.03
Control,0.07
Control,0.11
Control,0.04
Control,0.04
Control,0.03
Control,0.05
Control,0.08
Control,0.09
Control,0.1
Torisel,0.04
Torisel,0.06
Torisel,0.07
Torisel,0.13
Torisel,0.07
Torisel,0.05
Torisel,0.09
Torisel,0.04
Torisel,0.08
Torisel,0.03
Torisel,0.04
Torisel,0.05
Torisel,0.07
Torisel,0.06
Torisel,0.12
Torisel,0.06
Torisel,0.09
Torisel,0.11
Avastin,0.02
Avastin,0.1
Avastin,0.03
Avastin,0.06
Avastin,0.07
Avastin,0.11
Avastin,0.16
Avastin,0.13
Avastin,0.14
Avastin,0.01
Avastin,0.07
Avastin,0.06
Avastin,0
Avastin,0.04
Avastin,0.04
Avastin,0.14
Avastin,0.07
Avastin,0.09
Tor+Ava,0.03
Tor+Ava,0.06
Tor+Ava,0.02
Tor+Ava,0.01
Tor+Ava,0
Tor+Ava,0.11
Tor+Ava,0.01
Tor+Ava,0.02
Tor+Ava,0.01
Tor+Ava,0.02
Tor+Ava,0.08
Tor+Ava,0.07
Tor+Ava,0.02
Tor+Ava,0.02
Tor+Ava,0.03
Tor+Ava,0.06
Tor+Ava,0.06
Tor+Ava,0.04